hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Paradise International - 5 min from Delhi Airport,"₹ 1,439",9.7,Exceptional,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,399",False,True,2024-04-09,2024-04-10,"Free parking, Air conditioning, Breakfast"
Hotel Lotus Paradise,"₹ 2,969",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 356 taxes and charges,3,1 night, 2 adults,"₹ 2,969",False,False,2024-04-09,2024-04-10,"Indoor swimming pool, Free WiFi, Airport shuttle, Family rooms, Free parking, Non-smoking rooms, Room service, Superb breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,95,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking"
The Red York,"₹ 1,750",7.9,Good,225,Noida,Deluxe Room,1 double bed,+₹ 210 taxes and charges,3,1 night, 2 adults,"₹ 1,750",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Facilities for disabled guests, Free parking, Tea/coffee maker in all rooms, Breakfast"
"Vivanta Surajkund, NCR","₹ 7,875",7.8,Good,"1,350",Faridabad,Superior Room king bed,1 extra-large double bed,"+₹ 1,418 taxes and charges",5,1 night, 2 adults,"₹ 7,875",False,True,2024-04-09,2024-04-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2024-04-09,2024-04-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Avanti Retreat- Farm Stay,"₹ 5,400",8.2,Very good,21,Dera Māndi,One-Bedroom Chalet,1 large double bed,+₹ 648 taxes and charges,0,1 night, 2 adults,"₹ 5,400",False,True,2024-04-09,2024-04-10,"Indoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Free WiFi, Family rooms, Free parking, Tea/coffee maker in all rooms, Breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 1,350",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,350",False,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Family rooms"
"THE SINGH EMPIRE, New Delhi","₹ 3,188",8.0,Very good,"1,169","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 382 taxes and charges,4,1 night, 2 adults,"₹ 3,188",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Black Stone - Vasundhara - Near Vaishali Metro,"₹ 1,599",7.9,Good,21,Ghaziabad,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 192 taxes and charges,3,1 night, 2 adults,"₹ 1,599",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking"
Hotel Tripple Tree - Karol Bagh,"₹ 5,939",8.0,Very good,225,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,+₹ 713 taxes and charges,4,1 night, 2 adults,"₹ 5,939",True,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 2,831",8.6,Fabulous,111,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,+₹ 340 taxes and charges,3,1 night, 2 adults,"₹ 2,831",True,True,2024-04-09,2024-04-10,"Non-smoking rooms, Room service, Free WiFi, Free parking, Good breakfast"
The Vertigo,"₹ 2,368",8.0,Very good,122,Noida,Deluxe Room,1 large double bed,+₹ 284 taxes and charges,3,1 night, 2 adults,"₹ 2,368",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Very good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 5,147",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 618 taxes and charges,5,1 night, 2 adults,"₹ 5,147",False,False,2024-04-09,2024-04-10,"Outdoor swimming pool, Airport shuttle, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 10,944",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 1,970 taxes and charges",5,1 night, 2 adults,"₹ 10,944",True,True,2024-04-09,2024-04-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 15,499",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 2,790 taxes and charges",5,1 night, 2 adults,"₹ 15,499",False,True,2024-04-09,2024-04-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 7,444",8.0,Very good,731,Greater Noida,Standard Queen Bed Accessible,1 large double bed,+₹ 893 taxes and charges,5,1 night, 2 adults,"₹ 7,444",False,False,2024-04-09,2024-04-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Days Hotel Neemrana,"₹ 2,975",6.9,Review score,147,Neemrana,Premium King Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,975",True,True,2024-04-09,2024-04-10,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Spa and wellness centre, Free WiFi, Family rooms, Bar, Breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 3,239",7.5,Good,"3,837","South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 389 taxes and charges,4,1 night, 2 adults,"₹ 3,239",False,True,2024-04-09,2024-04-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Breakfast"
