hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
The Grace Hotel - Short Drive from Delhi Airport,"₹ 2,519",7.9,Good,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 302 taxes and charges,3,2 nights, 2 adults,"₹ 4,198",False,True,2023-12-08,2023-12-10,"Airport shuttle, Room service, Free parking, Air conditioning, Breakfast"
Hotel Lotus Paradise,"₹ 5,938",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 713 taxes and charges,3,2 nights, 2 adults,"₹ 5,938",False,False,2023-12-08,2023-12-10,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, Superb breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 53,998",7.7,Good,95,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 9,720 taxes and charges",4,2 nights, 2 adults,"₹ 53,998",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Free parking, Free WiFi"
The Red York,"₹ 6,998",7.8,Good,221,Noida,Deluxe Room,1 double bed,+₹ 840 taxes and charges,3,2 nights, 2 adults,"₹ 6,998",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Breakfast"
"Vivanta Surajkund, NCR","₹ 33,875",7.8,Good,"1,348",Faridabad,Superior Room king bed,1 extra-large double bed,"+₹ 6,098 taxes and charges",5,2 nights, 2 adults,"₹ 33,875",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Avanti Retreat- Farm Stay,"₹ 10,800",8.1,Very good,20,Dera Māndi,One-Bedroom Chalet,1 large double bed,"+₹ 1,296 taxes and charges",0,2 nights, 2 adults,"₹ 10,800",True,True,2023-12-08,2023-12-10,"Indoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms, Breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 2,700",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 324 taxes and charges,3,2 nights, 2 adults,"₹ 2,700",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
"THE SINGH EMPIRE, New Delhi","₹ 6,375",8.0,Very good,"1,160","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 765 taxes and charges,4,2 nights, 2 adults,"₹ 6,375",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Tripple Tree - Karol Bagh,"₹ 11,878",8.0,Very good,223,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,"+₹ 1,425 taxes and charges",4,2 nights, 2 adults,"₹ 11,878",True,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 4,820",8.6,Fabulous,111,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,+₹ 578 taxes and charges,3,2 nights, 2 adults,"₹ 6,885",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Free parking, Free WiFi, Good breakfast"
The Vivaan Hotel & Resorts,"₹ 24,198",7.3,Good,61,Karnāl,Standard Double Room,1 large double bed,"+₹ 4,356 taxes and charges",0,2 nights, 2 adults,"₹ 24,198",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, Bar, Breakfast"
Flora Residency,"₹ 5,102",7.5,Good,385,"Sector 40 - 44, Gurgaon",Double or Twin Room,1 extra-large double bed,+₹ 612 taxes and charges,3,2 nights, 2 adults,"₹ 5,102",True,True,2023-12-08,2023-12-10,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Good breakfast"
Noormahal Palace Hotel,"₹ 57,330",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 10,319 taxes and charges",5,2 nights, 2 adults,"₹ 57,330",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 28,998",7.6,Good,742,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 5,220 taxes and charges",5,2 nights, 2 adults,"₹ 28,998",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 57,798",8.0,Very good,730,Greater Noida,Standard King or Twin Bed Room,1 large double bed,"+₹ 10,404 taxes and charges",5,2 nights, 2 adults,"₹ 57,798",False,False,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Days Hotel Neemrana,"₹ 5,950",6.9,Review score,146,Neemrana,Premium King Room,1 double bed,+₹ 714 taxes and charges,3,2 nights, 2 adults,"₹ 5,950",True,True,2023-12-08,2023-12-10,"Indoor swimming pool, Airport shuttle, Spa and wellness centre, Non-smoking rooms, Room service, Restaurant, Fitness centre, Family rooms, Bar, Breakfast"
Hotel Leela Grande,"₹ 15,400",7.7,Good,47,Karnāl,Club Luxuria,1 double bed,"+₹ 1,848 taxes and charges",3,2 nights, 2 adults,"₹ 15,400",False,False,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Good breakfast"
Courtyard by Marriott Aravali Resort,"₹ 55,000",8.9,Fabulous,46,Faridabad,Deluxe King Room with Balcony,Beds: 1 double or 2 singles,"+₹ 9,900 taxes and charges",5,2 nights, 2 adults,"₹ 55,000",True,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 6,478",7.6,Good,"3,827","South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 777 taxes and charges,4,2 nights, 2 adults,"₹ 6,478",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Breakfast"
Avatar Living @Safdarjung Enclave,"₹ 13,608",8.9,Fabulous,275,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 large double bed,"+₹ 1,633 taxes and charges",0,2 nights, 2 adults,"₹ 13,608",True,True,2023-12-08,2023-12-10,"Airport shuttle (free), Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms"
The Dadhikar Fort Hotel,"₹ 26,391",7.5,Good,53,Alwar,Deluxe Room,1 double bed,"+₹ 4,750 taxes and charges",4,2 nights, 2 adults,"₹ 27,780",True,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Family rooms, Free parking, Very good breakfast"
Hotel Clayton near IGI airport Delhi,"₹ 1,847",7.5,Good,149,"South West, New Delhi",Double Room,1 double bed,+₹ 222 taxes and charges,4,2 nights, 2 adults,"₹ 4,619",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Spa and wellness centre, Room service, Family rooms, Free parking, Free WiFi, 24-hour front desk, Bar, Tea/coffee maker in all rooms, Superb breakfast"
"Holiday Inn New Delhi International Airport, an IHG Hotel","₹ 20,397",7.8,Good,"5,504","South West, New Delhi",Standard King Room - Disability Access,1 extra-large double bed,"+₹ 3,671 taxes and charges",5,2 nights, 2 adults,"₹ 20,397",False,False,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Saltstayz Le Icon - Cyber Hub,"₹ 6,105",8.9,Fabulous,133,"DLF Cyber City, Gurgaon",Deluxe Room,1 extra-large double bed,+₹ 733 taxes and charges,3,2 nights, 2 adults,"₹ 8,721",True,True,2023-12-08,2023-12-10,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
Hotel Admire Inn By F9 Hotels,"₹ 5,398",8.0,Very good,269,Ghaziabad,Deluxe Double Room,1 extra-large double bed,+₹ 648 taxes and charges,3,2 nights, 2 adults,"₹ 5,398",False,True,2023-12-08,2023-12-10,"Room service, Restaurant, Free parking, Free WiFi, Superb breakfast"
Park Plaza Faridabad,"₹ 16,000",6.9,Review score,308,Faridabad,Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,880 taxes and charges",4,2 nights, 2 adults,"₹ 16,000",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Facilities for disabled guests, Bar, Good breakfast"
Radisson Blu Plaza Delhi Airport,"₹ 43,380",8.1,Very good,"5,617","Mahipalpur, New Delhi",Superior Room with Happy Hours 03:00 PM to 06:00 PM 1+1 & Free Pick up and drop to Worldmark Aerocity (subject to car availability),Beds: 1 double or 2 singles,"+₹ 9,977 taxes and charges",5,2 nights, 2 adults,"₹ 43,380",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hindustan- by Backpackers Heaven,"₹ 3,670",7.6,Good,"1,204","Paharganj, New Delhi",Deluxe Twin Room,1 single bed,+₹ 440 taxes and charges,4,2 nights, 2 adults,"₹ 3,670",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, Terrace, Laundry, Daily housekeeping, Air conditioning"
"Hotel Abhinandan, Panipat","₹ 3,240",7.4,Good,5,Pānīpat,Deluxe Room,"2 beds (1 double, 1 futon)",+₹ 389 taxes and charges,4,2 nights, 2 adults,"₹ 3,240",False,True,2023-12-08,2023-12-10,"Restaurant, Room service, Free parking, Breakfast"
"Staybook - Hotel Jyoti Mahal New Delhi Railway Station, Paharganj","₹ 7,699",8.0,Very good,97,"Paharganj, New Delhi",Deluxe Double Room,1 double bed,+₹ 924 taxes and charges,4,2 nights, 2 adults,"₹ 7,699",False,True,2023-12-08,2023-12-10,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Breakfast"
House of Comfort Greater Noida,"₹ 16,996",8.9,Fabulous,226,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,059 taxes and charges",0,2 nights, 2 adults,"₹ 16,996",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Restaurant, Family rooms, Free parking, Free WiFi, Superb breakfast"
Premium Residency - Sector 15,"₹ 2,698",3.3,Review score,6,Noida,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 324 taxes and charges,3,2 nights, 2 adults,"₹ 2,698",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
SaltStayz Sector 39 - Subhash Chowk,"₹ 4,820",8.6,Fabulous,80,"Sector 40 - 44, Gurgaon",Double Room with Balcony,1 extra-large double bed,+₹ 578 taxes and charges,3,2 nights, 2 adults,"₹ 6,885",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Free parking, Free WiFi, 24-hour front desk, Very good breakfast"
Utsav Camp Sariska,"₹ 29,000",8.2,Very good,21,Tehla,Superior Double Room,1 double bed,"+₹ 5,220 taxes and charges",3,2 nights, 2 adults,"₹ 29,000",True,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Breakfast"
Olive Service Apartments - Greater Kailash,"₹ 12,628",7.9,Good,26,"Greater Kailash 1, New Delhi",Standard Studio,1 large double bed,"+₹ 1,515 taxes and charges",0,2 nights, 2 adults,"₹ 12,628",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Family rooms, Free parking, Free WiFi, Laundry, Daily housekeeping, Air conditioning, Breakfast"
Ramada Neemrana,"₹ 15,200",6.4,Review score,246,Neemrana,King Room - Non-Smoking,1 double bed,"+₹ 2,736 taxes and charges",4,2 nights, 2 adults,"₹ 15,200",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Fitness centre, Family rooms, Facilities for disabled guests, Free parking, Tea/coffee maker in all rooms, Bar, Breakfast"
OYO Mide Highway Hotel & Restaurant,"₹ 5,171",5.5,Review score,2,Khurja,Standard Double Room,1 large double bed,+₹ 669 taxes and charges,3,2 nights, 2 adults,"₹ 7,956",True,True,2023-12-08,2023-12-10,Room service
Aloft New Delhi Aerocity,"₹ 28,900",8.2,Very good,"2,803","South West, New Delhi","2 Twin/Single Beds, City View, Aloft Room",2 single beds,"+₹ 5,202 taxes and charges",5,2 nights, 2 adults,"₹ 28,900",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Leela Palace New Delhi,"₹ 56,000",9.0,Superb,793,"South Delhi, New Delhi",Grand Deluxe Room,1 extra-large double bed,"+₹ 10,080 taxes and charges",5,2 nights, 2 adults,"₹ 56,000",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Facilities for disabled guests, Bar, Fabulous breakfast"
Treebo Trend Grand Town House,"₹ 11,881",7.3,Good,57,Faridabad,Deluxe Double Room,1 large double bed,"+₹ 1,426 taxes and charges",3,2 nights, 2 adults,"₹ 17,733",True,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi"
Neemrana's - Hill Fort - Kesroli,"₹ 17,000",8.0,Very good,209,Alwar,Heritage Romance,1 extra-large double bed,"+₹ 3,060 taxes and charges",4,2 nights, 2 adults,"₹ 17,000",True,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Non-smoking rooms, Restaurant, Spa and wellness centre, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Leela Ambience Gurugram Hotel & Residences,"₹ 54,500",8.8,Fabulous,"1,637","DLF Cyber City, Gurgaon",Superior King Room,1 extra-large double bed,"+₹ 9,810 taxes and charges",5,2 nights, 2 adults,"₹ 54,500",True,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Bar, Fabulous breakfast"
FabExpress Indraprastha,"₹ 5,945",7.9,Good,10,"East Delhi, New Delhi",Deluxe Room,1 large double bed,+₹ 713 taxes and charges,3,2 nights, 2 adults,"₹ 5,945",False,True,2023-12-08,2023-12-10,"Free parking, Free WiFi"
Saltstayz Grand Sky - Unitech Cyber Park,"₹ 10,863",9.5,Exceptional,75,"Sector 40 - 44, Gurgaon",Suite with Balcony,1 double bed,"+₹ 1,304 taxes and charges",4,2 nights, 2 adults,"₹ 10,863",True,True,2023-12-08,2023-12-10,"Room service, Restaurant, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Exceptional breakfast"
Hyatt Regency Delhi,"₹ 34,200",7.7,Good,"2,197","South Delhi, New Delhi",Twin Room,2 single beds,"+₹ 8,174 taxes and charges",5,2 nights, 2 adults,"₹ 34,200",False,True,2023-12-08,2023-12-10,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel namo,"₹ 1,248",7.9,Good,47,Alwar,Deluxe Double Room,1 double bed,+₹ 150 taxes and charges,0,2 nights, 2 adults,"₹ 1,248",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms"
Sandal Suites by Lemon Tree Hotels,"₹ 52,198",7.4,Good,302,Noida,Standard Twin Room,2 large double beds,"+₹ 15,555 taxes and charges",5,2 nights, 2 adults,"₹ 52,198",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, Tea/coffee maker in all rooms, Good breakfast"
Aadvan Farmhouse,"₹ 18,900",NA,NA,NA,Sohna,Double Room with Balcony,"4 beds (2 doubles, 2 large doubles)","+₹ 3,402 taxes and charges",0,2 nights, 2 adults,"₹ 18,900",True,True,2023-12-08,2023-12-10,"Swimming Pool, Free parking, Free WiFi"
The Prime Delhi,"₹ 8,100",8.3,Very good,"1,560","Paharganj, New Delhi",Superior Double or Twin Room,Multiple bed types,+₹ 972 taxes and charges,4,2 nights, 2 adults,"₹ 9,000",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Very good breakfast"
"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","₹ 36,998",7.5,Good,"1,917","Mayur Vihar Phase 1, New Delhi",1 KING BED STANDARD SMOKING,1 extra-large double bed,"+₹ 6,660 taxes and charges",5,2 nights, 2 adults,"₹ 36,998",False,False,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
The Lodgers 1 BHK Serviced Apartment Golf Course Road Gurgaon,"₹ 28,478",9.7,Exceptional,63,"Golf Course Road, Gurgaon",One-Bedroom Apartment,"2 beds (1 double, 1 sofa bed)","+₹ 5,126 taxes and charges",0,2 nights, 2 adults,"₹ 31,998",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk"
Park Inn By Radisson Gurgaon Bilaspur,"₹ 9,998",7.6,Good,277,Manesar,Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 1,200 taxes and charges",4,2 nights, 2 adults,"₹ 9,998",False,False,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free parking, Breakfast"
"Ambassador, New Delhi - IHCL SeleQtions","₹ 31,000",7.8,Good,958,"Central Delhi, New Delhi","Superior Room Queen Bed with 15% off on Food and Soft Beverages, Happy Hours (Buy 1 & Get 1) on select menu at InSomnia",1 large double bed,"+₹ 5,580 taxes and charges",5,2 nights, 2 adults,"₹ 31,000",False,True,2023-12-08,2023-12-10,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Radisson Gurugram Udyog Vihar,"₹ 36,000",7.5,Good,"1,414","Udyog Vihar, Gurgaon",Superior Room with 1+1 IMFL at The Brew Bar,Beds: 1 double or 2 singles,"+₹ 6,480 taxes and charges",5,2 nights, 2 adults,"₹ 36,000",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Bar, Good breakfast"
"Vivanta New Delhi, Dwarka","₹ 23,040",8.1,Very good,"2,501","Dwarka, New Delhi",Deluxe Room City View King Bed,1 extra-large double bed,"+₹ 4,147 taxes and charges",5,2 nights, 2 adults,"₹ 23,040",False,True,2023-12-08,2023-12-10,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Private parking, Facilities for disabled guests, Bar, Very good breakfast"
Olive Service Apartments - City Centre Noida,"₹ 16,054",8.9,Fabulous,55,Noida,Apartment with Terrace,1 extra-large double bed,"+₹ 2,890 taxes and charges",0,2 nights, 2 adults,"₹ 16,054",False,True,2023-12-08,2023-12-10,"Non-smoking rooms, Room service, Fitness centre, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms"
Roseate House New Delhi,"₹ 51,999",7.9,Good,"1,348","South West, New Delhi",Club Room,Multiple bed types,"+₹ 9,360 taxes and charges",5,2 nights, 2 adults,"₹ 51,999",False,True,2023-12-08,2023-12-10,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free parking, Bar, Good breakfast"
