hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Paradise International - 5 min from Delhi Airport,"₹ 1,439",9.7,Exceptional,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,399",False,True,2023-06-06,2023-06-07,"Free parking, Air conditioning, Breakfast"
Hotel Lotus Paradise,"₹ 1,637",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 196 taxes and charges,3,1 night, 2 adults,"₹ 2,519",False,False,2023-06-06,2023-06-07,"Indoor swimming pool, Free WiFi, Free parking, Airport shuttle, Family rooms, Room service, Non-smoking rooms, Superb breakfast"
Neemrana's - Tijara Fort Palace,"₹ 8,100",8.4,Very good,260,Tijāra,Heritage Romance,1 double bed,"+₹ 1,458 taxes and charges",4,1 night, 2 adults,"₹ 9,000",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Spa and wellness centre, Tea/coffee maker in all rooms, Very good breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 7,500",7.7,Good,96,Greater Noida,Superior King Room,1 extra-large double bed,+₹ 900 taxes and charges,4,1 night, 2 adults,"₹ 7,500",False,True,2023-06-06,2023-06-07,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking"
Neemrana's - Hill Fort - Kesroli,"₹ 6,840",8.0,Very good,210,Alwar,Heritage Romance,1 extra-large double bed,+₹ 821 taxes and charges,4,1 night, 2 adults,"₹ 7,600",True,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms, Spa and wellness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Royal 9,"₹ 3,968",8.3,Very good,20,Meerut,Superior Double Room,1 extra-large double bed,+₹ 476 taxes and charges,0,1 night, 2 adults,"₹ 4,409",True,True,2023-06-06,2023-06-07,"Free WiFi, Free parking, Room service, Non-smoking rooms, Tea/coffee maker in all rooms, Breakfast"
Ratan Villas Sariska,"₹ 6,518",8.2,Very good,10,Alwar,King Room with Pool View,1 extra-large double bed,+₹ 782 taxes and charges,0,1 night, 2 adults,"₹ 8,250",True,True,2023-06-06,2023-06-07,"2 swimming pools, Free WiFi, Free parking, Family rooms, Restaurant, Room service, Non-smoking rooms, Tea/coffee maker in all rooms, Breakfast"
The Red York,"₹ 1,460",7.9,Good,226,Noida,Deluxe Room,1 double bed,+₹ 175 taxes and charges,3,1 night, 2 adults,"₹ 3,649",False,True,2023-06-06,2023-06-07,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Family rooms, Tea/coffee maker in all rooms, Breakfast"
"Vivanta Surajkund, NCR","₹ 7,875",7.8,Good,"1,350",Faridabad,Superior Room king bed,1 extra-large double bed,"+₹ 1,418 taxes and charges",5,1 night, 2 adults,"₹ 7,875",False,True,2023-06-06,2023-06-07,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 5,599",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,+₹ 672 taxes and charges,5,1 night, 2 adults,"₹ 5,599",True,False,2023-06-06,2023-06-07,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
