hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Paradise International - 5 min from Delhi Airport,"₹ 1,439",9.7,Exceptional,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,399",False,True,2024-03-05,2024-03-06,"Free parking, Air conditioning, Breakfast"
Hotel Lotus Paradise,"₹ 2,519",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 302 taxes and charges,3,1 night, 2 adults,"₹ 2,519",False,False,2024-03-05,2024-03-06,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Free parking, Free WiFi, Family rooms, Superb breakfast"
Neemrana's - Tijara Fort Palace,"₹ 8,500",8.4,Very good,260,Tijāra,Heritage Comfort,1 double bed,"+₹ 1,530 taxes and charges",4,1 night, 2 adults,"₹ 8,500",True,True,2024-03-05,2024-03-06,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Spa and wellness centre, Tea/coffee maker in all rooms, Very good breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,95,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2024-03-05,2024-03-06,"Non-smoking rooms, Room service, Restaurant, Free parking, Free WiFi"
Neemrana's - Hill Fort - Kesroli,"₹ 8,500",8.0,Very good,210,Alwar,Heritage Romance,1 extra-large double bed,"+₹ 1,530 taxes and charges",4,1 night, 2 adults,"₹ 8,500",True,True,2024-03-05,2024-03-06,"Outdoor swimming pool, Restaurant, Non-smoking rooms, Free parking, Spa and wellness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Red York,"₹ 3,649",7.9,Good,225,Noida,Deluxe Room,1 double bed,+₹ 438 taxes and charges,3,1 night, 2 adults,"₹ 3,649",False,True,2024-03-05,2024-03-06,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Facilities for disabled guests, Free parking, Family rooms, Tea/coffee maker in all rooms, Breakfast"
"Vivanta Surajkund, NCR","₹ 13,125",7.8,Good,"1,350",Faridabad,Superior Room king bed,1 extra-large double bed,"+₹ 2,363 taxes and charges",5,1 night, 2 adults,"₹ 13,125",False,True,2024-03-05,2024-03-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Restaurant, Spa and wellness centre, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2024-03-05,2024-03-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Spa and wellness centre, Fitness centre, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Good breakfast"
Avanti Retreat- Farm Stay,"₹ 5,400",8.2,Very good,21,Dera Māndi,One-Bedroom Chalet,"2 beds (1 sofa bed, 1 large double)",+₹ 648 taxes and charges,0,1 night, 2 adults,"₹ 5,400",False,True,2024-03-05,2024-03-06,"Indoor swimming pool, Non-smoking rooms, Room service, Spa and wellness centre, Free parking, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 1,350",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,350",False,True,2024-03-05,2024-03-06,"Non-smoking rooms, Room service, Free WiFi, Family rooms"
