hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Lotus Paradise,"₹ 2,969",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 356 taxes and charges,3,1 night, 2 adults,"₹ 2,969",False,False,2024-05-07,2024-05-08,"Indoor swimming pool, Free WiFi, Airport shuttle, Family rooms, Free parking, Non-smoking rooms, Room service, Superb breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,95,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking"
The Red York,"₹ 1,750",7.9,Good,225,Noida,Deluxe Room,1 double bed,+₹ 210 taxes and charges,3,1 night, 2 adults,"₹ 1,750",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Facilities for disabled guests, Free parking, Tea/coffee maker in all rooms, Breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Avanti Retreat- Farm Stay,"₹ 5,400",8.2,Very good,21,Dera Māndi,One-Bedroom Chalet,1 large double bed,+₹ 648 taxes and charges,0,1 night, 2 adults,"₹ 5,400",False,True,2024-05-07,2024-05-08,"Indoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Free WiFi, Family rooms, Free parking, Tea/coffee maker in all rooms, Breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 1,350",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,350",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Free WiFi, Family rooms"
"THE SINGH EMPIRE, New Delhi","₹ 3,188",8.0,Very good,"1,169","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 382 taxes and charges,4,1 night, 2 adults,"₹ 3,188",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Black Stone - Vasundhara - Near Vaishali Metro,"₹ 1,599",7.9,Good,21,Ghaziabad,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 192 taxes and charges,3,1 night, 2 adults,"₹ 1,599",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking"
Hotel Tripple Tree - Karol Bagh,"₹ 5,939",8.0,Very good,225,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,+₹ 713 taxes and charges,4,1 night, 2 adults,"₹ 5,939",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 38,250",8.6,Fabulous,111,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,"+₹ 6,885 taxes and charges",3,1 night, 2 adults,"₹ 38,250",True,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Free WiFi, Free parking, Good breakfast"
The Vertigo,"₹ 2,368",8.0,Very good,122,Noida,Deluxe Room,1 large double bed,+₹ 284 taxes and charges,3,1 night, 2 adults,"₹ 2,368",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Very good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 5,147",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 618 taxes and charges,5,1 night, 2 adults,"₹ 5,147",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 10,944",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 1,970 taxes and charges",5,1 night, 2 adults,"₹ 10,944",True,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 15,499",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 2,790 taxes and charges",5,1 night, 2 adults,"₹ 15,499",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Smart Plaza Delhi Airport,"₹ 1,709",7.5,Good,"3,837","South West, New Delhi",Deluxe Room,1 double bed,+₹ 205 taxes and charges,4,1 night, 2 adults,"₹ 1,709",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Breakfast"
Avatar Living @Safdarjung Enclave,"₹ 6,804",8.9,Fabulous,277,"Safdarjung Enclave, New Delhi",Deluxe Double Room,1 large double bed,+₹ 816 taxes and charges,0,1 night, 2 adults,"₹ 6,804",True,True,2024-05-07,2024-05-08,"Airport shuttle (free), Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Tea/coffee maker in all rooms"
The Dadhikar Fort Hotel,"₹ 6,500",7.5,Good,53,Alwar,Deluxe Room,1 double bed,+₹ 780 taxes and charges,4,1 night, 2 adults,"₹ 6,500",True,True,2024-05-07,2024-05-08,"Airport shuttle, Family rooms, Free parking, Non-smoking rooms, Very good breakfast"
Radisson Blu Kaushambi Delhi NCR,"₹ 5,399",7.2,Good,548,Ghaziabad,Superior Double or Twin Room,Multiple bed types,+₹ 648 taxes and charges,5,1 night, 2 adults,"₹ 5,399",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Saltstayz Le Icon - Cyber Hub,"₹ 42,500",8.9,Fabulous,133,"DLF Cyber City, Gurgaon",Deluxe Room,1 extra-large double bed,"+₹ 7,650 taxes and charges",3,1 night, 2 adults,"₹ 42,500",True,True,2024-05-07,2024-05-08,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
Park Plaza Faridabad,"₹ 7,200",7.0,Good,309,Faridabad,Superior Double or Twin Room,Beds: 1 double or 2 singles,+₹ 864 taxes and charges,4,1 night, 2 adults,"₹ 7,200",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Facilities for disabled guests, Bar, Good breakfast"
Radisson Blu Plaza Delhi Airport,"₹ 11,250",8.1,Very good,"5,625","Mahipalpur, New Delhi",Superior Room with Happy Hours 03:00 PM to 06:00 PM 1+1 & Free Pick up and drop to Worldmark Aerocity (subject to car availability),Beds: 1 double or 2 singles,"+₹ 2,588 taxes and charges",5,1 night, 2 adults,"₹ 11,250",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hindustan- by Backpackers Heaven,"₹ 1,882",7.6,Good,"1,220","Paharganj, New Delhi",Family Room,2 large double beds,+₹ 226 taxes and charges,4,1 night, 2 adults,"₹ 1,882",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, Terrace, Laundry, Daily housekeeping, Air conditioning"
SaltStayz Sector 39 - Subhash Chowk,"₹ 2,907",8.4,Very good,86,"Sector 40 - 44, Gurgaon",Double Room with Balcony,1 extra-large double bed,+₹ 349 taxes and charges,3,1 night, 2 adults,"₹ 2,907",True,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Free WiFi, Free parking, 24-hour front desk, Very good breakfast"
Hotel Grand Tushar-Ghaziabad Railway Station,"₹ 1,799",7.8,Good,86,Ghaziabad,Double Room with Private Bathroom,1 extra-large double bed,+₹ 216 taxes and charges,3,1 night, 2 adults,"₹ 1,799",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Family rooms, Free parking, Fabulous breakfast"
Hotel Clayton near IGI airport Delhi,"₹ 1,176",7.5,Good,155,"South West, New Delhi",Double Room,1 double bed,+₹ 141 taxes and charges,4,1 night, 2 adults,"₹ 2,939",True,True,2024-05-07,2024-05-08,"Non-smoking rooms, Spa and wellness centre, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Bar, Tea/coffee maker in all rooms, Superb breakfast"
Hotel Sakura by Maps,"₹ 3,639",7.4,Good,80,"Sector 40 - 44, Gurgaon",Standard Double Room,1 double bed,+₹ 437 taxes and charges,4,1 night, 2 adults,"₹ 3,639",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Breakfast"
Hyatt Regency Delhi,"₹ 31,500",7.7,Good,"2,202","South Delhi, New Delhi",Twin Room,2 single beds,"+₹ 7,529 taxes and charges",5,1 night, 2 adults,"₹ 31,500",False,True,2024-05-07,2024-05-08,"2 swimming pools, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel namo,₹ 624,8.0,Very good,48,Alwar,Deluxe Double Room,1 double bed,+₹ 75 taxes and charges,0,1 night, 2 adults,₹ 624,False,True,2024-05-07,2024-05-08,"Free WiFi, Family rooms, Free parking, Non-smoking rooms, Room service, Tea/coffee maker in all rooms"
Aadvan Farmhouse,"₹ 9,450",NA,NA,NA,Sohna,Double Room with Balcony,"4 beds (2 doubles, 2 large doubles)","+₹ 1,701 taxes and charges",0,1 night, 2 adults,"₹ 9,450",True,True,2024-05-07,2024-05-08,"Swimming Pool, Free WiFi, Free parking"
The Prime Delhi,"₹ 4,500",8.3,Very good,"1,568","Paharganj, New Delhi",Superior Double or Twin Room,Multiple bed types,+₹ 540 taxes and charges,4,1 night, 2 adults,"₹ 4,500",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Facilities for disabled guests, Tea/coffee maker in all rooms, Very good breakfast"
Park Inn By Radisson Gurgaon Bilaspur,"₹ 3,999",7.6,Good,277,Manesar,Superior Double or Twin Room,Beds: 1 double or 2 singles,+₹ 480 taxes and charges,4,1 night, 2 adults,"₹ 3,999",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Family rooms, Breakfast"
Radisson Gurugram Udyog Vihar,"₹ 13,500",7.5,Good,"1,420","Udyog Vihar, Gurgaon",Superior Room with 1+1 IMFL at The Brew Bar,Beds: 1 double or 2 singles,"+₹ 2,430 taxes and charges",5,1 night, 2 adults,"₹ 13,500",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Bar, Good breakfast"
The Grand Barso (A Luxury Heritage),"₹ 4,500",6.6,Review score,11,Bharatpur,Double Room with Garden View,1 extra-large double bed,+₹ 540 taxes and charges,0,1 night, 2 adults,"₹ 4,500",False,True,2024-05-07,2024-05-08,"Free parking, Restaurant, Non-smoking rooms, Room service, Breakfast"
Roseate House New Delhi,"₹ 13,065",7.9,Good,"1,347","South West, New Delhi",Deluxe Room,Multiple bed types,"+₹ 2,352 taxes and charges",5,1 night, 2 adults,"₹ 13,065",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Free WiFi, Bar, Good breakfast"
Saltstayz Hotel Huda City Center,"₹ 38,250",8.6,Fabulous,190,Gurgaon,Deluxe Room,1 extra-large double bed,"+₹ 6,885 taxes and charges",3,1 night, 2 adults,"₹ 38,250",True,True,2024-05-07,2024-05-08,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Very good breakfast"
Radisson Blu Hotel New Delhi Paschim Vihar,"₹ 10,500",6.5,Review score,"1,836","Pashim Vihar, New Delhi",Superior Double or Twin Room,Beds: 1 double or 2 singles,"+₹ 2,415 taxes and charges",5,1 night, 2 adults,"₹ 10,500",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Emerald Park,"₹ 1,039",8.7,Fabulous,106,"South West, New Delhi",Deluxe Double or Twin Room,1 large double bed,+₹ 374 taxes and charges,3,1 night, 2 adults,"₹ 1,598",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Terrace, Tea/coffee maker in all rooms, Exceptional breakfast"
Krishna Enclave,"₹ 1,773",NA,NA,NA,Ghaziabad,Double Room with Terrace,"2 beds (1 single, 1 double)",+₹ 213 taxes and charges,0,1 night, 2 adults,"₹ 1,773",False,True,2024-05-07,2024-05-08,
"Park Inn by Radisson,South Delhi","₹ 7,499",7.6,Good,"1,110","South Delhi, New Delhi",Superior Room,1 large double bed,+₹ 900 taxes and charges,5,1 night, 2 adults,"₹ 7,499",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Facilities for disabled guests, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel International Inn - Near Delhi Airport,"₹ 2,591",7.7,Good,800,"Mahipalpur, New Delhi",Compact Room,1 extra-large double bed,+₹ 311 taxes and charges,3,1 night, 2 adults,"₹ 2,879",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Free parking, 24-hour front desk, Laundry, Fabulous breakfast"
Hotel Star One - Near Delhi Airport,"₹ 3,077",7.6,Good,520,"Mahipalpur, New Delhi",Deluxe Room,1 extra-large double bed,+₹ 369 taxes and charges,3,1 night, 2 adults,"₹ 3,419",True,True,2024-05-07,2024-05-08,"Room service, Free WiFi, Family rooms, Free parking, 24-hour front desk, Daily housekeeping, Air conditioning, Breakfast"
Andaz Delhi Aerocity- Concept by Hyatt,"₹ 14,000",8.1,Very good,"1,554","South West, New Delhi",King Room,1 extra-large double bed,"+₹ 2,520 taxes and charges",5,1 night, 2 adults,"₹ 14,000",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Metro Stay By F9 Hotels-Near Sector 18 Metro Station Noida,"₹ 7,999",7.6,Good,90,Noida,Double Room with Private Bathroom,1 large double bed,"+₹ 1,440 taxes and charges",3,1 night, 2 adults,"₹ 7,999",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Free parking, Breakfast"
LetsBunk Poshtel & Suites,"₹ 4,050",7.5,Good,763,"Hauz Khas, New Delhi",Queen Room,1 double bed,+₹ 486 taxes and charges,4,1 night, 2 adults,"₹ 4,050",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Parking, 24-hour front desk, Bar, Breakfast"
"3 BHK Floor in Dwarka, New Delhi, Near Airport.","₹ 7,000",NA,NA,NA,"Dwarka, New Delhi",Three-Bedroom Apartment,"6 beds (3 doubles, 3 sofa beds)",+₹ 840 taxes and charges,0,1 night, 2 adults,"₹ 7,000",False,True,2024-05-07,2024-05-08,"Free WiFi, Free parking, Terrace, Air conditioning"
SaltStayz Golf Course Road,"₹ 2,525",8.4,Very good,165,"Golf Course Road, Gurgaon",Deluxe Double Room,1 double bed,+₹ 303 taxes and charges,4,1 night, 2 adults,"₹ 2,525",True,True,2024-05-07,2024-05-08,"Room service, Free WiFi, Free parking, 24-hour front desk, Fabulous breakfast"
Hotel M2M Sonipat,"₹ 2,016",1.0,Review score,1,Sonīpat,Deluxe King Room,1 extra-large double bed,+₹ 242 taxes and charges,5,1 night, 2 adults,"₹ 2,016",False,True,2024-05-07,2024-05-08,"Free WiFi, Family rooms, Free parking, Non-smoking rooms, Room service, Breakfast"
The Angel Hotel & Suites,"₹ 3,500",8.0,Very good,99,Gurgaon,Superior Double Room,1 extra-large double bed,+₹ 420 taxes and charges,3,1 night, 2 adults,"₹ 3,500",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Superb breakfast"
The Hosteller Delhi,"₹ 4,040",8.4,Very good,"1,135","New Friends Colony, New Delhi","Superior Double Room (Double Room with Attached Bathroom, 02 Hrs Early Check-in {Subject to availability}, High Speed WiFi and 10% off on F&B)",1 double bed,+₹ 485 taxes and charges,3,1 night, 2 adults,"₹ 4,040",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Restaurant, Free WiFi, Free parking, 24-hour front desk, Laundry, Daily housekeeping, Air conditioning, Good breakfast"
Radisson Blu MBD Hotel Noida,"₹ 14,400",8.4,Very good,790,Noida,Deluxe Double or Twin Room,1 double bed,"+₹ 2,592 taxes and charges",5,1 night, 2 adults,"₹ 14,400",False,False,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Nitya Maharani 'NEW DELHI',"₹ 4,096",8.1,Very good,"1,747","Paharganj, New Delhi",Deluxe Double Room,Multiple bed types,+₹ 492 taxes and charges,3,1 night, 2 adults,"₹ 4,096",False,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Free WiFi, Family rooms, Facilities for disabled guests, Free parking, 24-hour front desk, Tea/coffee maker in all rooms, Fabulous breakfast"
Hotel Bay Laurel Retreat,"₹ 3,500",7.4,Good,16,Faridabad,Deluxe Room,1 large double bed,+₹ 420 taxes and charges,4,1 night, 2 adults,"₹ 3,500",False,True,2024-05-07,2024-05-08,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Breakfast"
Minimalist Poshtel & Suites,"₹ 2,700",7.5,Good,802,"Hauz Khas, New Delhi",Twin Room with Balcony,1 bunk bed,+₹ 324 taxes and charges,0,1 night, 2 adults,"₹ 2,700",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Free WiFi, Family rooms, Parking, 24-hour front desk, Bar, Good breakfast"
Radisson Noida,"₹ 9,882",7.5,Good,654,Noida,Deluxe Double or Twin Room with 15% discount on Food and Soft beverage,Beds: 1 double or 2 singles,"+₹ 1,779 taxes and charges",5,1 night, 2 adults,"₹ 9,882",False,True,2024-05-07,2024-05-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Radisson Hotel Sector 29 Gurugram,"₹ 44,999",7.4,Good,20,"Sector 40 - 44, Gurgaon",Standard Room with 20% discount on food & soft beverages,Multiple bed types,"+₹ 8,100 taxes and charges",5,1 night, 2 adults,"₹ 44,999",True,True,2024-05-07,2024-05-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Fitness centre, Free WiFi, Facilities for disabled guests, Free parking, Bar, Breakfast"
