hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Paradise International - 5 min from Delhi Airport,"₹ 1,439",9.7,Exceptional,7,"Mahipalpur, New Delhi",Deluxe Room,1 double bed,+₹ 173 taxes and charges,3,1 night, 2 adults,"₹ 2,399",False,True,2023-11-07,2023-11-08,"Free parking, Air conditioning, Breakfast"
Hotel Lotus Paradise,"₹ 2,519",7.2,Good,352,Sonīpat,Deluxe Double Room with Balcony,1 extra-large double bed,+₹ 302 taxes and charges,3,1 night, 2 adults,"₹ 2,519",False,False,2023-11-07,2023-11-08,"Indoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi, Superb breakfast"
Neemrana's - Tijara Fort Palace,"₹ 8,500",8.4,Very good,260,Tijāra,Heritage Comfort,1 double bed,"+₹ 1,530 taxes and charges",4,1 night, 2 adults,"₹ 8,500",True,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Spa and wellness centre, Tea/coffee maker in all rooms, Very good breakfast"
Lime Tree Hotel and Banquet Greater Noida,"₹ 20,000",7.7,Good,96,Greater Noida,Superior King Room,1 extra-large double bed,"+₹ 3,600 taxes and charges",4,1 night, 2 adults,"₹ 20,000",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free parking, Free WiFi"
Neemrana's - Hill Fort - Kesroli,"₹ 8,500",8.0,Very good,210,Alwar,Heritage Romance,1 extra-large double bed,"+₹ 1,530 taxes and charges",4,1 night, 2 adults,"₹ 8,500",True,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Restaurant, Non-smoking rooms, Family rooms, Spa and wellness centre, Free parking, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Hotel Royal 9,"₹ 3,645",8.3,Very good,20,Meerut,Superior Double Room,1 extra-large double bed,+₹ 437 taxes and charges,0,1 night, 2 adults,"₹ 4,050",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Free parking, Free WiFi, Tea/coffee maker in all rooms, Breakfast"
The Red York,"₹ 3,649",7.9,Good,226,Noida,Deluxe Room,1 double bed,+₹ 438 taxes and charges,3,1 night, 2 adults,"₹ 3,649",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Breakfast"
"Radisson Blu Hotel, Greater Noida","₹ 20,399",7.3,Good,820,Greater Noida,Superior Double or Twin Room,Multiple bed types,"+₹ 3,672 taxes and charges",5,1 night, 2 adults,"₹ 20,399",True,False,2023-11-07,2023-11-08,"Outdoor swimming pool, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Avanti Retreat- Farm Stay,"₹ 5,400",8.2,Very good,21,Dera Māndi,One-Bedroom Chalet,1 large double bed,+₹ 648 taxes and charges,0,1 night, 2 adults,"₹ 5,400",True,True,2023-11-07,2023-11-08,"Indoor swimming pool, Non-smoking rooms, Room service, Spa and wellness centre, Family rooms, Free parking, Free WiFi, Tea/coffee maker in all rooms, Breakfast"
Hotel Manvi - Faridabad Sec 91,"₹ 1,350",10,Exceptional,2,Indraprast,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 162 taxes and charges,3,1 night, 2 adults,"₹ 1,350",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
"THE SINGH EMPIRE, New Delhi","₹ 3,188",8.0,Very good,"1,166","Paharganj, New Delhi",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,+₹ 382 taxes and charges,4,1 night, 2 adults,"₹ 3,188",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
Hotel Black Stone - Vasundhara - Near Vaishali Metro,"₹ 1,599",8.0,Very good,21,Ghaziabad,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 192 taxes and charges,3,1 night, 2 adults,"₹ 1,599",False,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Family rooms, Free parking, Free WiFi"
Hotel Tripple Tree - Karol Bagh,"₹ 5,939",8.0,Very good,225,"Karol bagh, New Delhi",Deluxe Double Room,1 large double bed,+₹ 713 taxes and charges,4,1 night, 2 adults,"₹ 5,939",True,True,2023-11-07,2023-11-08,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free parking, Free WiFi, 24-hour front desk, Tea/coffee maker in all rooms, Good breakfast"
Saltstayz - Sohna Road,"₹ 3,060",8.6,Fabulous,111,"Sector 40 - 44, Gurgaon",Deluxe Room,1 double bed,+₹ 367 taxes and charges,3,1 night, 2 adults,"₹ 3,060",True,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Free parking, Free WiFi, Good breakfast"
The Vivaan Hotel & Resorts,"₹ 12,099",7.3,Good,61,Karnāl,Standard Double Room,1 large double bed,"+₹ 2,178 taxes and charges",0,1 night, 2 adults,"₹ 12,099",False,True,2023-11-07,2023-11-08,"Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, Bar, Breakfast"
Flora Residency,"₹ 2,551",7.5,Good,386,"Sector 40 - 44, Gurgaon",Double or Twin Room,1 extra-large double bed,+₹ 306 taxes and charges,3,1 night, 2 adults,"₹ 2,551",True,True,2023-11-07,2023-11-08,"Airport shuttle (free), Non-smoking rooms, Room service, Restaurant, Free parking, Facilities for disabled guests, Free WiFi, 24-hour front desk, Good breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 6,749",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 810 taxes and charges,5,1 night, 2 adults,"₹ 6,749",False,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle, Room service, Restaurant, Family rooms, Fitness centre, Free parking, Tea/coffee maker in all rooms, Bar, Good breakfast"
Neemrana Fort-Palace,"₹ 9,000",7.5,Good,709,Neemrana,Heritage Romance Room,1 double bed,"+₹ 1,620 taxes and charges",4,1 night, 2 adults,"₹ 9,000",True,True,2023-11-07,2023-11-08,NA
Noormahal Palace Hotel,"₹ 23,850",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 4,293 taxes and charges",5,1 night, 2 adults,"₹ 23,850",False,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Free parking, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 14,499",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 2,610 taxes and charges",5,1 night, 2 adults,"₹ 14,499",False,True,2023-11-07,2023-11-08,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Fitness centre, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 9,055",8.0,Very good,731,Greater Noida,Standard King Bed Smoking,1 extra-large double bed,"+₹ 1,630 taxes and charges",5,1 night, 2 adults,"₹ 9,055",False,False,2023-11-07,2023-11-08,"Outdoor swimming pool, Non-smoking rooms, Room service, Spa and wellness centre, Restaurant, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
