hotel,price,score,avg review,reviews count,address,room_type,bed_type,extra_charges,hotel_rating,number_of_nights,number_of_adult,actual_price,breakfast_included,free_cancellation,checkin,checkout,amenities
Hotel Ronit Royal - New Delhi Airport,"₹ 1,280",7.0,Good,111,"South West, New Delhi",Deluxe Double Room,1 double bed,+₹ 154 taxes and charges,4,1 night, 2 adults,"₹ 2,134",False,True,2023-09-05,2023-09-06,"Airport shuttle, Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, 24-hour front desk, Terrace, Breakfast"
Neemrana's - Tijara Fort Palace,"₹ 8,000",8.4,Very good,260,Tijāra,Heritage Comfort,1 double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Spa and wellness centre, Tea/coffee maker in all rooms, Very good breakfast"
Neemrana's - Hill Fort - Kesroli,"₹ 8,000",8.0,Very good,210,Alwar,Heritage Romance,1 extra-large double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Free WiFi, Free parking, Family rooms, Restaurant, Non-smoking rooms, Spa and wellness centre, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Vivanta Surajkund, NCR","₹ 10,500",7.8,Good,"1,352",Faridabad,Superior Room king bed,1 extra-large double bed,"+₹ 1,890 taxes and charges",5,1 night, 2 adults,"₹ 10,500",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
The Vivaan Hotel & Resorts,"₹ 12,099",7.3,Good,61,Karnāl,Standard Double Room,1 large double bed,"+₹ 2,178 taxes and charges",0,1 night, 2 adults,"₹ 12,099",False,True,2023-09-05,2023-09-06,"Non-smoking rooms, Room service, Restaurant, Free WiFi, Free parking, Facilities for disabled guests, Bar, Breakfast"
Radisson Blu Towers Kaushambi Delhi NCR,"₹ 7,499",7.5,Good,"1,635",Ghaziabad,Superior Room,Multiple bed types,+₹ 900 taxes and charges,5,1 night, 2 adults,"₹ 7,499",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Neemrana Fort-Palace,"₹ 8,000",7.5,Good,709,Neemrana,Heritage Romance Room,1 double bed,"+₹ 1,440 taxes and charges",4,1 night, 2 adults,"₹ 8,000",True,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Spa and wellness centre, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Family rooms, Tea/coffee maker in all rooms, Bar, Good breakfast"
Noormahal Palace Hotel,"₹ 11,700",6.7,Review score,65,Karnāl,Club Double Room,1 double bed,"+₹ 2,106 taxes and charges",5,1 night, 2 adults,"₹ 14,625",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Bar, Very good breakfast"
Radisson Blu Faridabad,"₹ 10,999",7.6,Good,745,Faridabad,Superior Double or Twin Room - 15% Dis on FnB,Beds: 1 double or 2 singles,"+₹ 1,980 taxes and charges",5,1 night, 2 adults,"₹ 10,999",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Good breakfast"
"Crowne Plaza Greater Noida, an IHG Hotel","₹ 17,999",8.0,Very good,731,Greater Noida,Standard Queen Bed Accessible,1 large double bed,"+₹ 3,240 taxes and charges",5,1 night, 2 adults,"₹ 17,999",False,False,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Very good breakfast"
Days Hotel Neemrana,"₹ 2,975",6.8,Review score,148,Neemrana,Premium King Room,1 double bed,+₹ 357 taxes and charges,3,1 night, 2 adults,"₹ 2,975",True,True,2023-09-05,2023-09-06,"Indoor swimming pool, Airport shuttle, Spa and wellness centre, Room service, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Bar, Breakfast"
Hotel Leela Grande,"₹ 7,900",7.7,Good,47,Karnāl,Club Luxuria,1 double bed,+₹ 948 taxes and charges,3,1 night, 2 adults,"₹ 7,900",False,False,2023-09-05,2023-09-06,"Non-smoking rooms, Room service, Restaurant, Family rooms, Free WiFi, Free parking, Facilities for disabled guests, Tea/coffee maker in all rooms, Good breakfast"
Courtyard by Marriott Aravali Resort,"₹ 20,000",8.6,Fabulous,48,Faridabad,Deluxe King Room with Balcony,Beds: 1 double or 2 singles,"+₹ 3,600 taxes and charges",5,1 night, 2 adults,"₹ 20,000",True,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Tea/coffee maker in all rooms, Bar, Breakfast"
The Dadhikar Fort Hotel,"₹ 5,367",7.5,Good,53,Alwar,Deluxe Room,1 double bed,+₹ 644 taxes and charges,4,1 night, 2 adults,"₹ 5,649",True,True,2023-09-05,2023-09-06,"Free parking, Airport shuttle, Family rooms, Non-smoking rooms, Very good breakfast"
Radisson Blu Kaushambi Delhi NCR,"₹ 6,749",7.2,Good,548,Ghaziabad,Superior Double or Twin Room,Multiple bed types,+₹ 810 taxes and charges,5,1 night, 2 adults,"₹ 6,749",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Holiday Inn New Delhi International Airport, an IHG Hotel","₹ 15,839",7.8,Good,"5,511","South West, New Delhi",Standard King Room - Disability Access,1 extra-large double bed,"+₹ 2,851 taxes and charges",5,1 night, 2 adults,"₹ 15,839",False,False,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Tea/coffee maker in all rooms, Bar, Good breakfast"
Maidens Hotel New Delhi,"₹ 10,000",9.4,Superb,979,"North Delhi, New Delhi",Premier Room,1 extra-large double bed,"+₹ 1,800 taxes and charges",5,1 night, 2 adults,"₹ 10,000",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Exceptional breakfast"
Radisson Blu Plaza Delhi Airport,"₹ 21,690",8.1,Very good,"5,625","Mahipalpur, New Delhi",Superior Room with Happy Hours 03:00 PM to 06:00 PM 1+1 & Free Pick up and drop to Worldmark Aerocity (subject to car availability),Beds: 1 double or 2 singles,"+₹ 4,989 taxes and charges",5,1 night, 2 adults,"₹ 21,690",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Airport shuttle, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Tea/coffee maker in all rooms, Bar, Very good breakfast"
"Hotel Abhinandan, Panipat","₹ 1,620",6.3,Review score,6,Pānīpat,Deluxe Room,"2 beds (1 double, 1 futon)",+₹ 194 taxes and charges,4,1 night, 2 adults,"₹ 1,620",False,True,2023-09-05,2023-09-06,"Free parking, Restaurant, Room service, Breakfast"
House of Comfort Greater Noida,"₹ 3,598",8.9,Fabulous,226,Greater Noida,Superior King Room,1 extra-large double bed,+₹ 432 taxes and charges,0,1 night, 2 adults,"₹ 3,598",False,True,2023-09-05,2023-09-06,"Non-smoking rooms, Restaurant, Family rooms, Free WiFi, Free parking"
Premium Residency - Sector 15,₹ 944,3.3,Review score,6,Noida,Deluxe Double Room (2 Adults + 1 Child),1 double bed,+₹ 113 taxes and charges,3,1 night, 2 adults,"₹ 1,349",False,True,2023-09-05,2023-09-06,"Non-smoking rooms, Room service, Family rooms, Free WiFi"
Utsav Camp Sariska,"₹ 14,500",8.2,Very good,21,Tehla,Superior Double Room,1 double bed,"+₹ 2,610 taxes and charges",3,1 night, 2 adults,"₹ 14,500",True,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Breakfast"
"Holiday Inn Gurugram Sector 90, an IHG Hotel","₹ 5,103",7.5,Good,"1,069",Gurgaon,1 NS KING BED STANDARD WITH 10% DISCOUNT ON F&B,1 double bed,+₹ 612 taxes and charges,5,1 night, 2 adults,"₹ 5,103",False,False,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Tea/coffee maker in all rooms, Very good breakfast"
Hotel Grand Tushar-Ghaziabad Railway Station,"₹ 1,169",7.8,Good,86,Ghaziabad,Double Room with Private Bathroom,1 extra-large double bed,+₹ 140 taxes and charges,3,1 night, 2 adults,"₹ 1,799",False,True,2023-09-05,2023-09-06,"Non-smoking rooms, Room service, Family rooms, Free parking, Fabulous breakfast"
Ramada Neemrana,"₹ 5,000",6.5,Review score,249,Neemrana,King Room - Non-Smoking,1 double bed,+₹ 600 taxes and charges,4,1 night, 2 adults,"₹ 5,000",True,True,2023-09-05,2023-09-06,"Room service, Free parking, Restaurant, Non-smoking rooms, Free WiFi, Family rooms, Fitness centre, Tea/coffee maker in all rooms, Bar, Breakfast"
OYO Mide Highway Hotel & Restaurant,"₹ 1,103",5.5,Review score,2,Khurja,Standard Double Room,1 large double bed,+₹ 156 taxes and charges,3,1 night, 2 adults,"₹ 2,250",False,True,2023-09-05,2023-09-06,Room service
The Gateway Resort Damdama Lake,"₹ 18,000",7.5,Good,394,Gurgaon,Superior Resort Room Courtyard View Twin Bed,1 single bed,"+₹ 3,240 taxes and charges",5,1 night, 2 adults,"₹ 18,000",True,True,2023-09-05,2023-09-06,"Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Family rooms, Free WiFi, Free parking, Bar, Good breakfast"
Townhouse 86392 Parker Plaza,"₹ 1,588",5.5,Review score,6,Rāi,Classic Triple Room,1 extra-large double bed,+₹ 247 taxes and charges,4,1 night, 2 adults,"₹ 3,241",False,True,2023-09-05,2023-09-06,"Family rooms, Restaurant, Room service, Breakfast"
The Leela Palace New Delhi,"₹ 39,000",9.0,Superb,797,"South Delhi, New Delhi",Grand Deluxe Room,1 extra-large double bed,"+₹ 7,020 taxes and charges",5,1 night, 2 adults,"₹ 39,000",False,True,2023-09-05,2023-09-06,"Outdoor swimming pool, Non-smoking rooms, Spa and wellness centre, Room service, Fitness centre, Restaurant, Free WiFi, Free parking, Bar, Fabulous breakfast"
